	simple_id	supplier_id	seq_depth	subset	exclude	genus	species	callset202103	callset202103_malawi2perspecies	calset202106_GWAS	sex	clade	location	sublocation	undescribed	source	seq_source	notes	calcua_read_location	read_type	calcua_alignment_location_fAstCal1.2	study	study_id	change_history	taxonomic_uncertainty	full_name
ILBCDS6101029	DipNgu1	223	15.78	1.0		Diplotaxodon	sp-ngulube	1.0	1.0	1.0	U	Diplo	Nkhata_Bay		1.0		sanger		/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS6101029/ILBCDS6101029.cram	cram		ILB_Cichlid_diversity_sequencing_WTMGM_student_project	2430.0	species:sp-ngulube;		Diplotaxodon_sp-ngulube
ILBCDS5879567	ProSpi2	2005-233	18.05	1.0		Protomelas	spilopterus	1.0	1.0	1.0	M	Shallow	Southeast_arm	Mangochi	0.0	140715.manifest	sanger	initially Hemitaeniochromis spilopterus	/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879567/ILBCDS5879567.bam	cram		ILB_Cichlid_diversity_sequencing_WTMGM_student_project	2430.0	supplier_id:233;		Protomelas_spilopterus
ILBCDS5879560	AltPet23	280	17.92	1.0		Alticorpus	peterdaviesi	1.0	0.0	1.0	M	Deep	Southeast_arm		0.0	140715.manifest	sanger		/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879560/ILBCDS5879560.bam	cram		ILB_Cichlid_diversity_sequencing_WTMGM_student_project	2430.0			Alticorpus_peterdaviesi
ILBCDS6101032	RhaEso1	2004-328	14.99	1.0		Rhamphochromis	esox	1.0	1.0	1.0	U	Rhampho	Tukombo		0.0		sanger		/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS6101032/ILBCDS6101032.cram	cram		ILB_Cichlid_diversity_sequencing_WTMGM_student_project	2430.0	supplier_id:328;		Rhamphochromis_esox
ILBCDS6101022	RhaKin2	384	16.81	1.0		Rhamphochromis	sp-Kingiri-dwarf	1.0	1.0	1.0	U	Rhampho	Lake_Kingiri		1.0		sanger		/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS6101022/ILBCDS6101022.cram	cram		ILB_Cichlid_diversity_sequencing_WTMGM_student_project	2430.0	species:sp-Kingiri-dwarf;		Rhamphochromis_sp-Kingiri-dwarf
ILBCDS5421993	NimPol1	401	15.36	1.0		Nimbochromis	polystigma	1.0	1.0	1.0	M	Shallow	Dwangwa		0.0	130425.samples	sanger		/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5421993/ILBCDS5421993_0.bam,/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5421993/ILBCDS5421993_1.bam,/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5421993/ILBCDS5421993_2.bam	cram		ILB_Cichlid_diversity_sequencing_WTMGM_student_project	2430.0			Nimbochromis_polystigma
ILBCDS5879563	FosRos37	415	17.3	1.0		Fossorochromis	rostratus	1.0	0.0	1.0	F	Shallow	Salima		0.0	140715.manifest	sanger		/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879563/ILBCDS5879563.bam	cram		ILB_Cichlid_diversity_sequencing_WTMGM_student_project	2430.0			Fossorochromis_rostratus
ILBCDS5421982	CopMlo1	427	11.72	1.0		Copadichromis	trewavasae	1.0	1.0	1.0	M	Shallow			0.0	130425.samples	sanger		/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5421982/ILBCDS5421982_0.bam,/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5421982/ILBCDS5421982_1.bam,/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5421982/ILBCDS5421982_2.bam	cram		ILB_Cichlid_diversity_sequencing_WTMGM_student_project	2430.0	species:mloto;clade:utaka;		Copadichromis_trewavasae
ILBCDS5879556	CopBor3	428	17.16	1.0		Copadichromis	borleyi	1.0	1.0	1.0	M	Utaka			0.0	140715.manifest	sanger	via SMG	/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879556/ILBCDS5879556.bam	cram		ILB_Cichlid_diversity_sequencing_WTMGM_student_project	2430.0			Copadichromis_borleyi
ILBCDS5421995	AulStu9	429	16.34	1.0		Aulonocara	stuartgranti	1.0	0.0	1.0	M	Deep			0.0	130425.samples	sanger	initially A. steveni	/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5421995/ILBCDS5421995_0.bam,/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5421995/ILBCDS5421995_1.bam,/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5421995/ILBCDS5421995_2.bam	cram		ILB_Cichlid_diversity_sequencing_WTMGM_student_project	2430.0			Aulonocara_stuartgranti
ILBCDS5421994	AulStu5	430	24.77	1.0		Aulonocara	stuartgranti	1.0	1.0	1.0	M	Deep			0.0	130425.samples	sanger	maisoni	/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5421994/ILBCDS5421994_0.bam,/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5421994/ILBCDS5421994_1.bam,/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5421994/ILBCDS5421994_2.bam	cram		ILB_Cichlid_diversity_sequencing_WTMGM_student_project	2430.0			Aulonocara_stuartgranti
ILBCDS5421998	LetAlb1	433	10.24	1.0		Lethrinops	albus	1.0	1.0	1.0	M	Shallow			0.0	130425.samples	sanger		/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5421998/ILBCDS5421998_0.bam,/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5421998/ILBCDS5421998_1.bam,/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5421998/ILBCDS5421998_2.bam	cram		ILB_Cichlid_diversity_sequencing_WTMGM_student_project	2430.0	species:albus;	cf.	Lethrinops_albus
ILBCDS5422000	LetAur1	435	19.39	1.0		Tramitichromis	sp-kande	1.0	1.0	1.0	M	Shallow			0.0	130425.samples	sanger		/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5422000/ILBCDS5422000_0.bam,/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5422000/ILBCDS5422000_1.bam,/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5422000/ILBCDS5422000_2.bam	cram		ILB_Cichlid_diversity_sequencing_WTMGM_student_project	2430.0	genus:Lethrinops;species:auritus;		Tramitichromis_sp-kande
ILBCDS5421987	PlaMil1	437	21.71	1.0		Placidochromis	milomo	1.0	1.0	1.0	M	Shallow			0.0	130425.samples	sanger		/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5421987/ILBCDS5421987_0.bam,/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5421987/ILBCDS5421987_1.bam,/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5421987/ILBCDS5421987_2.bam	cram		ILB_Cichlid_diversity_sequencing_WTMGM_student_project	2430.0			Placidochromis_milomo
ILBCDS5421991	PlaJoh1	438	15.98	1.0		Placidochromis	johnstoni	1.0	0.0	1.0	M	Shallow			0.0	130425.samples	sanger		/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5421991/ILBCDS5421991_0.bam,/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5421991/ILBCDS5421991_1.bam,/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5421991/ILBCDS5421991_2.bam	cram		ILB_Cichlid_diversity_sequencing_WTMGM_student_project	2430.0			Placidochromis_johnstoni
ILBCDS5421988	PlaEle1	439	15.48	1.0		Placidochromis	electra	1.0	1.0	1.0	M	Shallow			0.0	130425.samples	sanger		/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5421988/ILBCDS5421988_0.bam,/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5421988/ILBCDS5421988_1.bam,/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5421988/ILBCDS5421988_2.bam	cram		ILB_Cichlid_diversity_sequencing_WTMGM_student_project	2430.0			Placidochromis_electra
ILBCDS5421992	NimLin1	440	16.37	1.0		Nimbochromis	linni	1.0	1.0	1.0	M	Shallow			0.0	130425.samples	sanger		/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5421992/ILBCDS5421992_0.bam,/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5421992/ILBCDS5421992_1.bam,/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5421992/ILBCDS5421992_2.bam	cram		ILB_Cichlid_diversity_sequencing_WTMGM_student_project	2430.0			Nimbochromis_linni
ILBCDS5421989	NimLiv1	441	13.52	1.0		Nimbochromis	livingstonii	1.0	1.0	1.0	M	Shallow			0.0	130425.samples	sanger		/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5421989/ILBCDS5421989_0.bam,/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5421989/ILBCDS5421989_1.bam,/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5421989/ILBCDS5421989_2.bam	cram		ILB_Cichlid_diversity_sequencing_WTMGM_student_project	2430.0			Nimbochromis_livingstonii
ILBCDS5879579	DimStr3	147A	16.48	1.0		Dimidiochromis	strigatus	1.0	0.0	1.0	M	Shallow	Salima		0.0	140715.manifest	sanger		/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879579/ILBCDS5879579.bam	cram		ILB_Cichlid_diversity_sequencing_WTMGM_student_project	2430.0			Dimidiochromis_strigatus
ILBCDS5879555	CynAfr1	157A	16.28	1.0		Cynotilapia	zebroides	1.0	0.0	1.0	U	Mbuna	Nkhata_Bay		0.0	140715.manifest	sanger		/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879555/ILBCDS5879555.bam	cram		ILB_Cichlid_diversity_sequencing_WTMGM_student_project	2430.0			Cynotilapia_zebroides
ILBCDS5879559	CynAxe1	159A	16.67	1.0		Cynotilapia	axelrodi	1.0	1.0	1.0	U	Mbuna	Nkhata_Bay		0.0	140715.manifest	sanger		/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879559/ILBCDS5879559.bam	cram		ILB_Cichlid_diversity_sequencing_WTMGM_student_project	2430.0			Cynotilapia_axelrodi
ILBCDS5879565	FosRos38	168A	6.56	1.0		Fossorochromis	rostratus	1.0	0.0	1.0	U	Shallow	Chiofu		0.0	140715.manifest	sanger		/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879565/ILBCDS5879565.bam	cram		ILB_Cichlid_diversity_sequencing_WTMGM_student_project	2430.0			Fossorochromis_rostratus
ILBCDS5879570	FosRos3	168B	16.53	1.0		Fossorochromis	rostratus	1.0	0.0	1.0	U	Shallow	Chiofu		0.0	140715.manifest	sanger		/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879570/ILBCDS5879570.bam	cram		ILB_Cichlid_diversity_sequencing_WTMGM_student_project	2430.0			Fossorochromis_rostratus
ILBCDS5879552	ChiRho4	227A	6.65	1.0		Chilotilapia	rhoadesii	1.0	0.0	1.0	U	Shallow	Southeast_arm	Mangochi	0.0	140715.manifest	sanger		/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879552/ILBCDS5879552.bam	cram		ILB_Cichlid_diversity_sequencing_WTMGM_student_project	2430.0			Chilotilapia_rhoadesii
ILBCDS5879553	DimCom1	230A	18.49	1.0		Dimidiochromis	compressiceps	1.0	1.0	1.0	U	Shallow	Southeast_arm	Mangochi	0.0	140715.manifest	sanger		/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879553/ILBCDS5879553.bam	cram		ILB_Cichlid_diversity_sequencing_WTMGM_student_project	2430.0			Dimidiochromis_compressiceps
ILBCDS5879550	AulBlu11	275A	18.26	1.0		Aulonocara	sp-blue-Chilumba	1.0	1.0	1.0	M	Deep	Chilumba		1.0	140715.manifest	sanger		/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879550/ILBCDS5879550.bam	cram		ILB_Cichlid_diversity_sequencing_WTMGM_student_project	2430.0	species:sp-blue-Chilumba;		Aulonocara_sp-blue-Chilumba
